ID,Name,Population,County
1,Oakland,"390,724",Alameda County
2,Markleeville,210,Alpine County
3,Jackson,4651,Amador Coutnty
4,Oroville,"15,546",Butte County
5,San Andreas,2783,Calaveras County
6,Colusa,5971,Colusa County
7,Martinez,"35,824",Contra Costa County
8,Crescent City,"7,643",Del Norte County
9,Placerville,"10,389",El Dorado County
10,Fresno,"494,665",Fresno County
11,Willows,"6,166",Glenn County
12,Eureka,"27,191",Humboldt County
13,El Centro,"42,598",Imperial County
14,Independence,669,Inyo County
15,Bakersfield,"347,483",Kern County
16,Hanford,"53,967",Kings County
17,Lakeport,"4,753",Lake County
18,Susanville,"17,947",Lassen County
19,Los Angeles,"3,792,621",Los Angeles County
20,Madera,"61,416",Madera County
21,San Rafael,"57,713",Marin County
22,Mariposa,"2,173",Mariposa County
23,Ukiah,"16,075",Mendocino County
24,Merced,"78,958",Merced County
25,Alturas,"2,827",Modoc County
26,Bridgeport,575,Mono County
27,Salinas,"150,441",Monterey County
28,Napa,"76,915",Napa County
29,Nevada City,"3,068",Nevada County
30,Santa Ana,"324,528",Orange County
31,Auburn,"13,330",Placer County
32,Quincy,"1,728",Plumas County
33,Riverside,"303,871",Riverside County
34,Sacramento,"466,488",Sacramento County
35,Hollister,"34,928",San Benito County
36,San Bernardino,"209,924",San Bernardino County
37,San Diego,"1,307,402",San Diego County
38,San Francisco,"884,363",San Francisco
39,Stockton,"291,707",San Joaquin County
40,San Luis Obispo,"45,119",San Luis Obispo County
41,Redwood City,"76,815",San Mateo County
42,Santa Barbara,"88,410",Santa Barbara County
43,San Jose,"945,942",Santa Clara County
44,Santa Cruz,"59,946",Santa Cruz County
45,Redding,"89,861",Shasta County
46,Downieville,282,Sierra County
47,Yreka,"7,765",Siskiyou County
48,Fairfield,"105,321",Solano County
49,Santa Rosa,"167,815",Sonoma County
50,Modesto,"201,165",Stanislaus County
51,Yuba City,"64,925",Sutter County
52,Red Bluff,"14,076",Tehama County
53,Weaverville,"3,600",Trinity County
54,Visalia,"124,442",Tulare County
55,Sonora,"4,804",Tuolumne County
56,Ventura,"106,433",Ventura County
57,Woodland,"55,468",Yolo County
58,Marysville,"12,072",Yuba County